lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,condition,seed,total_reward,reward_mean,reward_std,episode_length,final_branching,final_depth,final_noise
-2.8095963679162512,2.8937033464738247,0.2535916330313181,2,0.0,0.0,random_params,13,-24.392311211289112,-0.4878462242257821,0.21618641349113418,50,2,5,0.1
-3.2700119346185836,2.7229261691848317,0.21403835693428805,2,0.0,0.0,random_params,14,-23.352940526967785,-0.46705881053935555,0.23917203372606238,50,4,5,0.021537251367187496
-2.6267839195013103,2.795017171290239,0.25507799056354263,2,0.0,0.0,random_params,15,-24.701203341543934,-0.49402406683087846,0.2047916009525754,50,2,3,0.050676721721964815
-3.1996481683024864,2.819234441162749,0.2731750160858106,2,0.0,0.0,random_params,16,-22.555780656589146,-0.4511156131317828,0.24452280597816886,50,5,5,0.030643520315624985
-3.431576711437657,2.8501781588279114,0.2484603929805435,2,0.0,0.0,random_params,17,-21.21365132843324,-0.4242730265686647,0.2513385747429509,50,3,4,0.006901836229405789
-2.507800101181897,2.8145150802421464,0.22363677061863824,2,0.0,0.0,random_params,18,-26.460840694927544,-0.5292168138985506,0.17719933290875833,50,2,2,0.027794576249999987
-3.087179124296476,3.0249757949757217,0.33279421872093323,2,0.0,0.0,random_params,19,-22.785662236602395,-0.45571324473204783,0.23852166923718154,50,4,3,0.06999999999999999
-2.911728330296529,2.834373996468414,0.22891530344419436,2,0.0,0.0,random_params,20,-25.169760767427654,-0.5033952153485528,0.19932245382706051,50,5,3,0.0052499999999999995
-3.1319634642175824,2.7535277254052413,0.22248680545878252,2,0.0,0.0,random_params,21,-24.274866762495126,-0.48549733524990235,0.2301249546710004,50,5,4,0.01125
-3.5174784353708435,2.792960661161386,0.2230047522160333,2,0.0,0.0,random_params,22,-24.065916505716164,-0.48131833011432307,0.22702053500611602,50,4,4,0.1
-3.221256520356286,2.957772053076315,0.29435194397884984,2,0.0,0.0,random_params,23,-23.968241568332257,-0.479364831366645,0.22185129835657788,50,2,4,0.045965280473437474
-2.9078628631621446,2.8697334771674243,0.275461956369189,2,0.0,0.0,random_params,24,-24.677660351530776,-0.4935532070306154,0.2151288640880198,50,2,4,0.048999999999999995
-3.380590369963782,2.7627608254402514,0.23556390182173653,2,0.017352924248043907,6.951848030869208,random_params,25,-18.520998853504317,-0.3704199770700864,0.2740690311252623,50,3,5,0.05093374039557845
-3.6075475440343596,2.814737088865791,0.2566213556252246,2,0.0,0.0,random_params,26,-19.870482134854512,-0.3974096426970902,0.2726844229143007,50,4,4,0.06894792071015622
-3.034790673491254,2.9022157100542687,0.29384570209835803,2,0.0,0.0,random_params,27,-26.77811889419414,-0.5355623778838826,0.17622060682486732,50,4,2,0.06999999999999999
-3.595006624930409,2.8725095859371303,0.27794194405611783,2,0.0,0.0,random_params,28,-27.195455253796595,-0.5439091050759316,0.1550172666404771,50,3,4,0.1
-2.6991283634573193,2.9398779257655536,0.28959653333179497,2,0.0,0.0,random_params,29,-26.003918724277515,-0.52007837448555,0.19983434800047306,50,5,5,0.051449999999999996
-3.6818930171754927,2.8000209364260864,0.22586485938851183,2,0.03647687476334584,4.145498463088436,trained_params,0,-8.14620773997848,-0.16292415479956962,0.24482567396768318,50,2,2,0.1
-4.055531269958713,2.924811163320935,0.28265679146556516,2,0.01570008492690654,6.467426557975799,trained_params,1,-5.733515803217389,-0.11467031606434779,0.20477661845382372,50,2,2,0.1
-4.2324251600322365,2.9264199948609457,0.2609357157769139,2,0.06975972534065922,6.952853385146041,trained_params,2,-6.727901368921175,-0.13455802737842348,0.1898715462745756,50,2,2,0.005
-5.162747449993451,1.5897090061057109,0.08303213845448235,3,0.009769917788198178,6.952853385146041,trained_params,3,-9.790880701091922,-0.19581761402183848,0.1453824016465183,50,2,2,0.005
-4.202228801251188,2.182637750530564,0.1527295364468649,4,0.030626538153272216,7.467426557975799,trained_params,4,-9.309392589489269,-0.1861878517897853,0.15425169914585785,50,2,2,0.005
-5.343933005112148,2.8754974994368365,0.2826421226045079,2,0.007730765927136752,8.84593818122953,trained_params,5,-8.018458803892512,-0.16036917607785028,0.17565868492803074,50,2,2,0.005
-4.285774927289666,2.6651130520681146,0.19721864959972799,2,0.03756336125939046,5.145498463088435,trained_params,6,-6.064154893270106,-0.12128309786540209,0.18492096111332926,50,2,2,0.05
-5.515898807145119,2.350981904595833,0.1578278919114601,2,0.01608201167854053,9.189892582446888,trained_params,7,-9.130078136919952,-0.18260156273839903,0.1640937899958768,50,5,2,0.005
-3.901109786983121,2.816791937338199,0.24874886276576727,2,0.08283693540916647,6.525798681760159,trained_params,8,-8.816651824223307,-0.17633303648446616,0.23456971939431284,50,5,2,0.05
-4.883047213205011,2.6111751065806454,0.18495218355201373,2,0.05776955212862367,8.537815885867197,trained_params,9,-6.052541464166354,-0.12105082928332705,0.1584010590621159,50,2,2,0.1
-3.8020740762637635,2.8653816796870575,0.23033028670897737,2,0.024007671806429754,5.730460963809592,trained_params,10,-8.107413660301532,-0.1621482732060307,0.22895585594273182,50,2,2,0.005
