lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,mean_C,mean_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-1.3896183518574725,3.4019183323752253,0.2705548781706107,2,0.29301499933585107,8.25551429315909,0.21372764501851296,5.553222106101287,random_order,9,204.70213781058405,2.047021378105841,2.4326968295721336,100
-2.102145878898311,3.5156483980933197,0.33154977847578915,2,0.0,0.0,0.20102260616646414,7.0862744495718974,random_order,10,189.88757635820227,1.8988757635820226,2.1927972798933166,100
-1.3128986300896235,3.452936366664912,0.33158266685246685,2,0.0,0.0,0.2106019162814039,5.657297279967329,random_order,11,203.06276025928491,2.0306276025928494,2.3620842244813596,100
-1.1128299400154678,3.209852166526294,0.24453436832958445,2,0.5188926117013096,7.670551792437934,0.23498371788146563,5.777483502988603,random_order,12,228.14933057893603,2.2814933057893607,2.492527796701979,100
-1.2107085295967732,3.2810291913637943,0.2801157579720459,2,0.31676665269315574,7.670551792437934,0.2092067743649778,5.633527989299621,random_order,13,199.97773647531923,1.9997773647531916,2.3066727259905098,100
-1.2774453679557787,3.5051123748738355,0.347306325162546,2,0.10202510506630295,6.670551792437934,0.23139833538254603,5.460045274958832,random_order,14,222.09290618842834,2.2209290618842834,2.5206917855518727,100
-2.077933620420655,3.449115250533793,0.3377856392314146,2,0.02264450505409467,8.992479887325295,0.15677904016471758,6.465944011334483,random_order,15,140.4312489531479,1.404312489531479,2.297536714798161,100
-1.1172535884116384,3.1544958963084926,0.20130711676875618,2,0.33005676865155287,7.670551792437934,0.23815611031200748,5.514444663601796,random_order,16,229.6197007937806,2.2961970079378062,2.4795462230232164,100
-1.6779588995241008,3.420940998314813,0.2547052541338151,2,0.01002753704988034,7.670551792437934,0.2032521184665111,7.066936027649867,random_order,17,191.39458313891458,1.9139458313891458,2.2638170704008553,100
-0.9647595483685377,3.3941318568299064,0.3012147631543315,2,0.6967083960720859,8.670551792437934,0.2358527665014019,5.57956588790013,random_order,18,229.18107631709307,2.2918107631709304,2.5296370965133406,100
-1.0910259409475564,3.372185247954244,0.3022516260821128,2,0.6611832524284655,6.670551792437934,0.2553841261161174,5.743225587407874,random_order,19,251.50147795597906,2.5150147795597904,2.5354655547189986,100
-1.954986260524925,3.4348809719286004,0.26911609241135476,2,0.5608033321610912,6.670551792437934,0.197501039311653,7.125640512282709,random_order,20,186.36182904347615,1.8636182904347618,2.3766458348644193,100
-1.2719585934923066,3.466136570214031,0.35558638291552674,2,0.09269369631027334,7.670551792437934,0.19430697859784235,5.644484418863427,random_order,21,183.05893423272977,1.8305893423272974,2.292418260638496,100
-1.2892481967792495,3.362325168238741,0.2651765662064432,2,0.23728044083340324,7.670551792437934,0.24659919164139718,5.899087748234998,random_order,22,239.66958161294133,2.396695816129413,2.514335493794724,100
-1.2751215808788015,3.4845208053061283,0.32034942352699736,2,0.0,0.0,0.21633086690427536,5.681601538520198,random_order,23,210.61930925628238,2.106193092562824,2.343062171469311,100
-1.2012132451873054,3.3922347375963513,0.30884441919349087,2,0.20030166098407554,9.255514293159088,0.25474178025460276,6.346880296589868,random_order,24,250.74614088338149,2.507461408833815,2.3929269726440117,100
-1.447566038906904,3.503550475785394,0.3476739762474737,2,0.3076995304620001,7.670551792437934,0.20839790080176981,6.45580973872761,random_order,25,199.05577207737537,1.990557720773754,2.289522827469948,100
-1.7856738096408857,3.5606361967773856,0.36680713968751455,2,0.002086700572294563,8.25551429315909,0.18333822380363238,7.157770563123595,random_order,26,169.87120301445518,1.6987120301445517,2.1302261424444833,100
-1.2352188097572143,3.4132883941002734,0.30601150819244405,2,0.18641466842289248,8.670551792437934,0.20776431651476934,5.372668615075867,random_order,27,201.55278606705934,2.015527860670593,2.3848460605741773,100
-0.8534077822952076,3.3471788244974237,0.2810277349932273,2,0.0,0.0,0.24352341686691234,4.830793477054519,random_order,28,239.63855968492666,2.3963855968492664,2.67715023720957,100
-1.7240795864417144,3.493566092662573,0.34052586163813886,2,0.0,0.0,0.21113120167190869,6.812039000908682,random_order,29,200.8448498902154,2.008448498902154,2.4005527229194565,100
-1.2077318479589438,3.205626720335243,0.2681970487484381,2,0.6202808064313441,6.670551792437934,0.21329135589118203,5.299853520058946,random_life,0,141.9225712606068,1.4192257126060681,1.5568799829891526,100
